product_id,product_name,product_order_count,reorder_rate
27740,Chocolate Love Bar,102,0.9215686274509803
35604,Maca Buttercups,104,0.8942307692307693
38251,Benchbreak Chardonnay,111,0.8918918918918919
10236,Fragrance Free Clay with Natural Odor Eliminator Cat Litter,131,0.8702290076335878
20598,Thousand Island Salad Snax,114,0.868421052631579
35496,Real2 Alkalized Water 500 ml,457,0.862144420131291
9292,Half And Half Ultra Pasteurized,2995,0.8614357262103506
45504,Whole Organic Omega 3 Milk,9410,0.8598299681190223
17469,Lo-Carb Energy Drink,484,0.859504132231405
43394,Organic Lactose Free Whole Milk,8742,0.8591855410661176
5514,Organic Homogenized Whole Milk,4095,0.8581196581196581
47231,Ultra-Purified Water,1524,0.8569553805774278
29447,"Milk, Organic, Vitamin D",20770,0.8547424169475205
10031,Homestyle Orange Juice,317,0.8517350157728707
38689,Organic Reduced Fat Milk,36869,0.851501261222165
47765,Alimentum Infant Formula,114,0.8508771929824561
34197,Goat Milk,5353,0.8501774705772464
33673,Raw Whole Milk,241,0.8464730290456431
45035,Coffee Flavor Yogurt,117,0.8461538461538461
24852,Banana,491291,0.84505110006086
